                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.3013,                  1.522,                   1.68,                0.61845,                0.56537,                0.54307,                0.30752,                 1.6649,                 1.5219,                 2.1347,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.2981,                 1.5041,                 1.6669,                0.62075,                0.56693,                0.54459,                0.30769,                 1.6647,                   1.52,                 2.1347,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.3018,                 1.5055,                 1.6821,                0.62069,                0.56633,                0.54627,                0.30953,                 1.6633,                 1.5187,                 2.1313,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.2825,                 1.4828,                 1.6675,                 0.6242,                0.56683,                0.54785,                0.30982,                 1.6631,                 1.5177,                 2.1309,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.2824,                  1.479,                 1.6674,                0.62912,                0.56465,                0.54816,                0.31004,                 1.6625,                 1.5164,                 2.1302,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.2818,                  1.464,                 1.6598,                0.63347,                0.56281,                0.55076,                 0.3115,                 1.6623,                 1.5151,                 2.1288,              0.0005347,              0.0005347,              0.0005347
                     50,                 1.2671,                 1.4634,                 1.6434,                0.63704,                0.56163,                0.54971,                0.31147,                 1.6615,                 1.5144,                 2.1267,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.2732,                 1.4579,                 1.6477,                0.63684,                  0.562,                0.55133,                0.31201,                 1.6615,                 1.5123,                 2.1261,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.2613,                 1.4353,                 1.6363,                0.63357,                0.56174,                0.55117,                0.31249,                 1.6615,                 1.5105,                 2.1249,               0.000505,               0.000505,               0.000505
                     53,                 1.2596,                 1.4361,                 1.6345,                0.63381,                0.56252,                0.55233,                0.31282,                 1.6615,                 1.5088,                 2.1243,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.2554,                 1.4217,                 1.6313,                0.63928,                0.56194,                0.55251,                0.31263,                 1.6611,                 1.5062,                 2.1233,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.2478,                 1.4164,                 1.6247,                 0.6415,                0.56106,                0.55385,                0.31283,                 1.6619,                 1.5036,                 2.1253,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.2464,                 1.4115,                 1.6272,                0.64166,                0.56196,                0.55458,                0.31374,                 1.6612,                 1.5033,                 2.1231,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.2363,                 1.4008,                 1.6187,                0.63793,                0.56189,                0.55505,                0.31449,                 1.6602,                 1.5028,                  2.121,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.2286,                 1.3883,                 1.6137,                0.63453,                0.56109,                0.55431,                0.31396,                 1.6594,                 1.5023,                 2.1195,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.2247,                 1.3859,                 1.6115,                0.63609,                0.56231,                0.55502,                0.31399,                 1.6583,                 1.5014,                 2.1172,              0.0004357,              0.0004357,              0.0004357
                     60,                 1.2286,                 1.3847,                  1.612,                0.63481,                0.56333,                0.55472,                0.31385,                 1.6577,                 1.5006,                 2.1158,              0.0004258,              0.0004258,              0.0004258
                     61,                   1.22,                 1.3763,                 1.6027,                0.64286,                0.55759,                0.55533,                0.31439,                 1.6578,                    1.5,                 2.1154,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.2138,                 1.3658,                 1.5978,                0.64641,                0.55742,                0.55635,                0.31505,                 1.6582,                  1.499,                 2.1155,               0.000406,               0.000406,               0.000406
                     63,                   1.21,                 1.3608,                 1.5984,                0.63917,                0.56352,                0.55557,                0.31521,                 1.6586,                 1.4983,                  2.115,              0.0003961,              0.0003961,              0.0003961
                     64,                  1.207,                 1.3454,                 1.5983,                0.64107,                0.56336,                0.55686,                0.31562,                 1.6595,                 1.4983,                 2.1153,              0.0003862,              0.0003862,              0.0003862
                     65,                 1.2002,                 1.3422,                 1.5847,                 0.6428,                0.56039,                0.55701,                0.31599,                   1.66,                 1.4978,                 2.1149,              0.0003763,              0.0003763,              0.0003763
                     66,                 1.1909,                 1.3317,                  1.584,                0.64143,                 0.5602,                0.55766,                0.31615,                 1.6604,                 1.4986,                 2.1146,              0.0003664,              0.0003664,              0.0003664
                     67,                 1.1884,                 1.3125,                 1.5786,                0.64133,                0.55898,                0.55691,                0.31556,                 1.6608,                 1.4991,                 2.1139,              0.0003565,              0.0003565,              0.0003565
                     68,                 1.1908,                  1.326,                 1.5822,                0.64352,                0.55805,                0.55665,                0.31492,                 1.6611,                    1.5,                 2.1133,              0.0003466,              0.0003466,              0.0003466
                     69,                 1.1745,                 1.3052,                 1.5658,                0.64267,                 0.5591,                0.55617,                0.31409,                  1.662,                 1.5006,                 2.1135,              0.0003367,              0.0003367,              0.0003367
                     70,                 1.1731,                 1.2941,                 1.5704,                0.64494,                0.56128,                0.55692,                0.31388,                 1.6637,                 1.5007,                 2.1143,              0.0003268,              0.0003268,              0.0003268
                     71,                 1.1701,                 1.2921,                 1.5577,                0.64014,                0.56153,                0.55609,                0.31344,                 1.6648,                 1.5024,                 2.1144,              0.0003169,              0.0003169,              0.0003169
